plan_id,black_pct,latino_pct
0,"0     0.284162
1     0.490866
2     0.234071
3     0.554063
4     0.501144
5     0.532101
6     0.086695
7     0.303248
8     0.122075
9     0.250285
10    0.125472
11    0.366109
12    0.541554
13    0.124144
dtype: float64","0     0.055889
1     0.037065
2     0.043714
3     0.082635
4     0.061661
5     0.074588
6     0.071842
7     0.045434
8     0.096219
9     0.051119
10    0.073964
11    0.040434
12    0.083650
13    0.074853
dtype: float64"
1,"0     0.284162
1     0.490866
2     0.234071
3     0.554063
4     0.349891
5     0.686904
6     0.086695
7     0.303248
8     0.122075
9     0.250285
10    0.125472
11    0.366109
12    0.541554
13    0.124144
dtype: float64","0     0.055889
1     0.037065
2     0.043714
3     0.082635
4     0.057164
5     0.079163
6     0.071842
7     0.045434
8     0.096219
9     0.051119
10    0.073964
11    0.040434
12    0.083650
13    0.074853
dtype: float64"
2,"0     0.284162
1     0.490866
2     0.234071
3     0.554063
4     0.349891
5     0.686904
6     0.086695
7     0.303248
8     0.122075
9     0.244221
10    0.125472
11    0.370043
12    0.541554
13    0.124144
dtype: float64","0     0.055889
1     0.037065
2     0.043714
3     0.082635
4     0.057164
5     0.079163
6     0.071842
7     0.045434
8     0.096219
9     0.051839
10    0.073964
11    0.039912
12    0.083650
13    0.074853
dtype: float64"
3,"0     0.284162
1     0.490866
2     0.234071
3     0.554063
4     0.349891
5     0.686904
6     0.086695
7     0.303248
8     0.122075
9     0.250548
10    0.125472
11    0.364979
12    0.541554
13    0.124144
dtype: float64","0     0.055889
1     0.037065
2     0.043714
3     0.082635
4     0.057164
5     0.079163
6     0.071842
7     0.045434
8     0.096219
9     0.051154
10    0.073964
11    0.040479
12    0.083650
13    0.074853
dtype: float64"
4,"0     0.284162
1     0.490866
2     0.234071
3     0.616421
4     0.275868
5     0.686904
6     0.086695
7     0.303248
8     0.122075
9     0.250548
10    0.125472
11    0.364979
12    0.541554
13    0.124144
dtype: float64","0     0.055889
1     0.037065
2     0.043714
3     0.038482
4     0.099278
5     0.079163
6     0.071842
7     0.045434
8     0.096219
9     0.051154
10    0.073964
11    0.040479
12    0.083650
13    0.074853
dtype: float64"
5,"0     0.284162
1     0.490866
2     0.234071
3     0.616421
4     0.275868
5     0.686904
6     0.086695
7     0.303248
8     0.122075
9     0.250548
10    0.145824
11    0.364979
12    0.541554
13    0.106710
dtype: float64","0     0.055889
1     0.037065
2     0.043714
3     0.038482
4     0.099278
5     0.079163
6     0.071842
7     0.045434
8     0.096219
9     0.051154
10    0.071416
11    0.040479
12    0.083650
13    0.076984
dtype: float64"
6,"0     0.284162
1     0.490866
2     0.236351
3     0.616421
4     0.275868
5     0.686904
6     0.086695
7     0.303248
8     0.122075
9     0.248423
10    0.145824
11    0.364979
12    0.541554
13    0.106710
dtype: float64","0     0.055889
1     0.037065
2     0.044418
3     0.038482
4     0.099278
5     0.079163
6     0.071842
7     0.045434
8     0.096219
9     0.050509
10    0.071416
11    0.040479
12    0.083650
13    0.076984
dtype: float64"
7,"0     0.284162
1     0.490866
2     0.236351
3     0.616421
4     0.275868
5     0.686904
6     0.086695
7     0.303248
8     0.110910
9     0.248423
10    0.145824
11    0.364979
12    0.541554
13    0.117101
dtype: float64","0     0.055889
1     0.037065
2     0.044418
3     0.038482
4     0.099278
5     0.079163
6     0.071842
7     0.045434
8     0.075911
9     0.050509
10    0.071416
11    0.040479
12    0.083650
13    0.096407
dtype: float64"
8,"0     0.284162
1     0.490866
2     0.236351
3     0.509617
4     0.374896
5     0.686904
6     0.086695
7     0.303248
8     0.110910
9     0.248423
10    0.145824
11    0.364979
12    0.541554
13    0.117101
dtype: float64","0     0.055889
1     0.037065
2     0.044418
3     0.046333
4     0.093833
5     0.079163
6     0.071842
7     0.045434
8     0.075911
9     0.050509
10    0.071416
11    0.040479
12    0.083650
13    0.096407
dtype: float64"
9,"0     0.284162
1     0.490866
2     0.236351
3     0.509617
4     0.374896
5     0.686904
6     0.086695
7     0.303248
8     0.110910
9     0.444146
10    0.145824
11    0.364979
12    0.340232
13    0.117101
dtype: float64","0     0.055889
1     0.037065
2     0.044418
3     0.046333
4     0.093833
5     0.079163
6     0.071842
7     0.045434
8     0.075911
9     0.044782
10    0.071416
11    0.040479
12    0.084408
13    0.096407
dtype: float64"
10,"0     0.284162
1     0.375680
2     0.236351
3     0.509617
4     0.374896
5     0.686904
6     0.086695
7     0.421529
8     0.110910
9     0.444146
10    0.145824
11    0.364979
12    0.340232
13    0.117101
dtype: float64","0     0.055889
1     0.039590
2     0.044418
3     0.046333
4     0.093833
5     0.079163
6     0.071842
7     0.043094
8     0.075911
9     0.044782
10    0.071416
11    0.040479
12    0.084408
13    0.096407
dtype: float64"
11,"0     0.284162
1     0.375680
2     0.433731
3     0.509617
4     0.374896
5     0.686904
6     0.086695
7     0.421529
8     0.110910
9     0.233019
10    0.145824
11    0.364979
12    0.340232
13    0.117101
dtype: float64","0     0.055889
1     0.039590
2     0.045201
3     0.046333
4     0.093833
5     0.079163
6     0.071842
7     0.043094
8     0.075911
9     0.043961
10    0.071416
11    0.040479
12    0.084408
13    0.096407
dtype: float64"
12,"0     0.284162
1     0.375680
2     0.433731
3     0.509617
4     0.374896
5     0.686904
6     0.086695
7     0.408748
8     0.110910
9     0.237653
10    0.145824
11    0.364979
12    0.340232
13    0.117101
dtype: float64","0     0.055889
1     0.039590
2     0.045201
3     0.046333
4     0.093833
5     0.079163
6     0.071842
7     0.043588
8     0.075911
9     0.043453
10    0.071416
11    0.040479
12    0.084408
13    0.096407
dtype: float64"
13,"0     0.284162
1     0.375680
2     0.250580
3     0.509617
4     0.374896
5     0.686904
6     0.086695
7     0.408748
8     0.110910
9     0.433690
10    0.145824
11    0.364979
12    0.340232
13    0.117101
dtype: float64","0     0.055889
1     0.039590
2     0.045450
3     0.046333
4     0.093833
5     0.079163
6     0.071842
7     0.043588
8     0.075911
9     0.043216
10    0.071416
11    0.040479
12    0.084408
13    0.096407
dtype: float64"
14,"0     0.284162
1     0.375680
2     0.250580
3     0.509617
4     0.374896
5     0.686904
6     0.086695
7     0.408748
8     0.110910
9     0.265951
10    0.145824
11    0.364979
12    0.511820
13    0.117101
dtype: float64","0     0.055889
1     0.039590
2     0.045450
3     0.046333
4     0.093833
5     0.079163
6     0.071842
7     0.043588
8     0.075911
9     0.051711
10    0.071416
11    0.040479
12    0.080753
13    0.096407
dtype: float64"
15,"0     0.284162
1     0.375680
2     0.119074
3     0.509617
4     0.374896
5     0.686904
6     0.086695
7     0.408748
8     0.239367
9     0.265951
10    0.145824
11    0.364979
12    0.511820
13    0.117101
dtype: float64","0     0.055889
1     0.039590
2     0.076940
3     0.046333
4     0.093833
5     0.079163
6     0.071842
7     0.043588
8     0.045006
9     0.051711
10    0.071416
11    0.040479
12    0.080753
13    0.096407
dtype: float64"
16,"0     0.284162
1     0.375680
2     0.119074
3     0.509617
4     0.083151
5     0.686904
6     0.376149
7     0.408748
8     0.239367
9     0.265951
10    0.145824
11    0.364979
12    0.511820
13    0.117101
dtype: float64","0     0.055889
1     0.039590
2     0.076940
3     0.046333
4     0.074786
5     0.079163
6     0.090605
7     0.043588
8     0.045006
9     0.051711
10    0.071416
11    0.040479
12    0.080753
13    0.096407
dtype: float64"
17,"0     0.284162
1     0.375680
2     0.119074
3     0.509617
4     0.083151
5     0.695852
6     0.376149
7     0.408748
8     0.239367
9     0.265951
10    0.145824
11    0.364979
12    0.515495
13    0.117101
dtype: float64","0     0.055889
1     0.039590
2     0.076940
3     0.046333
4     0.074786
5     0.072916
6     0.090605
7     0.043588
8     0.045006
9     0.051711
10    0.071416
11    0.040479
12    0.086248
13    0.096407
dtype: float64"
18,"0     0.284162
1     0.375680
2     0.119074
3     0.509617
4     0.083151
5     0.244553
6     0.376149
7     0.408748
8     0.670329
9     0.265951
10    0.145824
11    0.364979
12    0.515495
13    0.117101
dtype: float64","0     0.055889
1     0.039590
2     0.076940
3     0.046333
4     0.074786
5     0.045037
6     0.090605
7     0.043588
8     0.071637
9     0.051711
10    0.071416
11    0.040479
12    0.086248
13    0.096407
dtype: float64"
19,"0     0.284162
1     0.375680
2     0.119074
3     0.574250
4     0.083151
5     0.244553
6     0.376149
7     0.408748
8     0.601426
9     0.265951
10    0.145824
11    0.364979
12    0.515495
13    0.117101
dtype: float64","0     0.055889
1     0.039590
2     0.076940
3     0.043752
4     0.074786
5     0.045037
6     0.090605
7     0.043588
8     0.071772
9     0.051711
10    0.071416
11    0.040479
12    0.086248
13    0.096407
dtype: float64"
20,"0     0.284162
1     0.375680
2     0.068871
3     0.574250
4     0.083151
5     0.244553
6     0.376149
7     0.408748
8     0.601426
9     0.265951
10    0.185842
11    0.364979
12    0.515495
13    0.117101
dtype: float64","0     0.055889
1     0.039590
2     0.077942
3     0.043752
4     0.074786
5     0.045037
6     0.090605
7     0.043588
8     0.071772
9     0.051711
10    0.071172
11    0.040479
12    0.086248
13    0.096407
dtype: float64"
21,"0     0.284162
1     0.375680
2     0.068871
3     0.574250
4     0.083151
5     0.321093
6     0.376149
7     0.408748
8     0.565431
9     0.265951
10    0.185842
11    0.364979
12    0.515495
13    0.117101
dtype: float64","0     0.055889
1     0.039590
2     0.077942
3     0.043752
4     0.074786
5     0.046935
6     0.090605
7     0.043588
8     0.073692
9     0.051711
10    0.071172
11    0.040479
12    0.086248
13    0.096407
dtype: float64"
22,"0     0.284162
1     0.370456
2     0.068871
3     0.574250
4     0.083151
5     0.321093
6     0.376149
7     0.411329
8     0.565431
9     0.265951
10    0.185842
11    0.364979
12    0.515495
13    0.117101
dtype: float64","0     0.055889
1     0.041150
2     0.077942
3     0.043752
4     0.074786
5     0.046935
6     0.090605
7     0.041862
8     0.073692
9     0.051711
10    0.071172
11    0.040479
12    0.086248
13    0.096407
dtype: float64"
23,"0     0.284162
1     0.370456
2     0.068871
3     0.574250
4     0.083151
5     0.321093
6     0.376149
7     0.411329
8     0.565431
9     0.265951
10    0.185842
11    0.364979
12    0.105956
13    0.511299
dtype: float64","0     0.055889
1     0.041150
2     0.077942
3     0.043752
4     0.074786
5     0.046935
6     0.090605
7     0.041862
8     0.073692
9     0.051711
10    0.071172
11    0.040479
12    0.094625
13    0.088272
dtype: float64"
24,"0     0.284162
1     0.370456
2     0.068871
3     0.574250
4     0.083151
5     0.321093
6     0.376149
7     0.411329
8     0.565431
9     0.367295
10    0.185842
11    0.265413
12    0.105956
13    0.511299
dtype: float64","0     0.055889
1     0.041150
2     0.077942
3     0.043752
4     0.074786
5     0.046935
6     0.090605
7     0.041862
8     0.073692
9     0.040596
10    0.071172
11    0.051407
12    0.094625
13    0.088272
dtype: float64"
25,"0     0.284162
1     0.370258
2     0.068871
3     0.574250
4     0.083151
5     0.321093
6     0.376149
7     0.413849
8     0.565431
9     0.367295
10    0.185842
11    0.265413
12    0.105956
13    0.511299
dtype: float64","0     0.055889
1     0.040125
2     0.077942
3     0.043752
4     0.074786
5     0.046935
6     0.090605
7     0.042968
8     0.073692
9     0.040596
10    0.071172
11    0.051407
12    0.094625
13    0.088272
dtype: float64"
26,"0     0.284162
1     0.370258
2     0.068871
3     0.283809
4     0.083151
5     0.594032
6     0.376149
7     0.413849
8     0.565431
9     0.367295
10    0.185842
11    0.265413
12    0.105956
13    0.511299
dtype: float64","0     0.055889
1     0.040125
2     0.077942
3     0.045328
4     0.074786
5     0.045666
6     0.090605
7     0.042968
8     0.073692
9     0.040596
10    0.071172
11    0.051407
12    0.094625
13    0.088272
dtype: float64"
27,"0     0.284162
1     0.370258
2     0.068871
3     0.283809
4     0.083151
5     0.461182
6     0.376149
7     0.413849
8     0.690839
9     0.367295
10    0.185842
11    0.265413
12    0.105956
13    0.511299
dtype: float64","0     0.055889
1     0.040125
2     0.077942
3     0.045328
4     0.074786
5     0.049740
6     0.090605
7     0.042968
8     0.067900
9     0.040596
10    0.071172
11    0.051407
12    0.094625
13    0.088272
dtype: float64"
28,"0     0.284162
1     0.370258
2     0.068871
3     0.283809
4     0.083151
5     0.461182
6     0.376149
7     0.413849
8     0.690839
9     0.361301
10    0.185842
11    0.272786
12    0.105956
13    0.511299
dtype: float64","0     0.055889
1     0.040125
2     0.077942
3     0.045328
4     0.074786
5     0.049740
6     0.090605
7     0.042968
8     0.067900
9     0.041319
10    0.071172
11    0.050546
12    0.094625
13    0.088272
dtype: float64"
29,"0     0.284162
1     0.370258
2     0.068871
3     0.283809
4     0.083151
5     0.461182
6     0.376149
7     0.413849
8     0.643650
9     0.361301
10    0.194429
11    0.272786
12    0.105956
13    0.511299
dtype: float64","0     0.055889
1     0.040125
2     0.077942
3     0.045328
4     0.074786
5     0.049740
6     0.090605
7     0.042968
8     0.058510
9     0.041319
10    0.081683
11    0.050546
12    0.094625
13    0.088272
dtype: float64"
30,"0     0.284162
1     0.370258
2     0.068871
3     0.400082
4     0.083151
5     0.461182
6     0.376149
7     0.413849
8     0.529210
9     0.361301
10    0.194429
11    0.272786
12    0.105956
13    0.511299
dtype: float64","0     0.055889
1     0.040125
2     0.077942
3     0.055708
4     0.074786
5     0.049740
6     0.090605
7     0.042968
8     0.048683
9     0.041319
10    0.081683
11    0.050546
12    0.094625
13    0.088272
dtype: float64"
31,"0     0.284162
1     0.370258
2     0.068871
3     0.400082
4     0.083151
5     0.461182
6     0.196975
7     0.413849
8     0.529210
9     0.361301
10    0.373593
11    0.272786
12    0.105956
13    0.511299
dtype: float64","0     0.055889
1     0.040125
2     0.077942
3     0.055708
4     0.074786
5     0.049740
6     0.081596
7     0.042968
8     0.048683
9     0.041319
10    0.090704
11    0.050546
12    0.094625
13    0.088272
dtype: float64"
32,"0     0.284162
1     0.370258
2     0.068871
3     0.400082
4     0.083151
5     0.461182
6     0.196975
7     0.413849
8     0.529210
9     0.261302
10    0.373593
11    0.368766
12    0.105956
13    0.511299
dtype: float64","0     0.055889
1     0.040125
2     0.077942
3     0.055708
4     0.074786
5     0.049740
6     0.081596
7     0.042968
8     0.048683
9     0.052413
10    0.090704
11    0.039876
12    0.094625
13    0.088272
dtype: float64"
33,"0     0.284162
1     0.370194
2     0.068871
3     0.400082
4     0.083151
5     0.461182
6     0.196975
7     0.413849
8     0.529210
9     0.261302
10    0.373593
11    0.368867
12    0.105956
13    0.511299
dtype: float64","0     0.055889
1     0.040182
2     0.077942
3     0.055708
4     0.074786
5     0.049740
6     0.081596
7     0.042968
8     0.048683
9     0.052413
10    0.090704
11    0.039827
12    0.094625
13    0.088272
dtype: float64"
34,"0     0.284162
1     0.370194
2     0.068871
3     0.400082
4     0.083151
5     0.445105
6     0.196975
7     0.413849
8     0.529210
9     0.261302
10    0.389250
11    0.368867
12    0.105956
13    0.511299
dtype: float64","0     0.055889
1     0.040182
2     0.077942
3     0.055708
4     0.074786
5     0.086177
6     0.081596
7     0.042968
8     0.048683
9     0.052413
10    0.054403
11    0.039827
12    0.094625
13    0.088272
dtype: float64"
35,"0     0.284162
1     0.370194
2     0.068871
3     0.382772
4     0.083151
5     0.445105
6     0.218735
7     0.413849
8     0.529210
9     0.261302
10    0.389250
11    0.368867
12    0.105956
13    0.511299
dtype: float64","0     0.055889
1     0.040182
2     0.077942
3     0.052731
4     0.074786
5     0.086177
6     0.083876
7     0.042968
8     0.048683
9     0.052413
10    0.054403
11    0.039827
12    0.094625
13    0.088272
dtype: float64"
36,"0     0.284162
1     0.370194
2     0.223636
3     0.382772
4     0.083151
5     0.445105
6     0.064345
7     0.413849
8     0.529210
9     0.261302
10    0.389250
11    0.368867
12    0.105956
13    0.511299
dtype: float64","0     0.055889
1     0.040182
2     0.085279
3     0.052731
4     0.074786
5     0.086177
6     0.076442
7     0.042968
8     0.048683
9     0.052413
10    0.054403
11    0.039827
12    0.094625
13    0.088272
dtype: float64"
37,"0     0.284162
1     0.370194
2     0.223636
3     0.664482
4     0.083151
5     0.445105
6     0.064345
7     0.413849
8     0.263960
9     0.261302
10    0.389250
11    0.368867
12    0.105956
13    0.511299
dtype: float64","0     0.055889
1     0.040182
2     0.085279
3     0.055220
4     0.074786
5     0.086177
6     0.076442
7     0.042968
8     0.046172
9     0.052413
10    0.054403
11    0.039827
12    0.094625
13    0.088272
dtype: float64"
38,"0     0.284162
1     0.370194
2     0.223636
3     0.664482
4     0.083151
5     0.281672
6     0.064345
7     0.413849
8     0.263960
9     0.261302
10    0.389250
11    0.368867
12    0.105956
13    0.675252
dtype: float64","0     0.055889
1     0.040182
2     0.085279
3     0.055220
4     0.074786
5     0.123569
6     0.076442
7     0.042968
8     0.046172
9     0.052413
10    0.054403
11    0.039827
12    0.094625
13    0.051881
dtype: float64"
39,"0     0.284162
1     0.370194
2     0.233434
3     0.664482
4     0.083151
5     0.281672
6     0.069834
7     0.413849
8     0.263960
9     0.261302
10    0.389250
11    0.368867
12    0.105956
13    0.675252
dtype: float64","0     0.055889
1     0.040182
2     0.086236
3     0.055220
4     0.074786
5     0.123569
6     0.076374
7     0.042968
8     0.046172
9     0.052413
10    0.054403
11    0.039827
12    0.094625
13    0.051881
dtype: float64"
40,"0     0.284162
1     0.370194
2     0.084628
3     0.664482
4     0.228848
5     0.281672
6     0.069834
7     0.413849
8     0.263960
9     0.261302
10    0.389250
11    0.368867
12    0.105956
13    0.675252
dtype: float64","0     0.055889
1     0.040182
2     0.073756
3     0.055220
4     0.087037
5     0.123569
6     0.076374
7     0.042968
8     0.046172
9     0.052413
10    0.054403
11    0.039827
12    0.094625
13    0.051881
dtype: float64"
